DISTRITO;MAT_CRECHE;MAT_PRE_ESCOLA;MAT_FUND_I;MAT_FUND_II;MAT_EJA_I;MAT_EJA_II;MAT_ENS_MED;MAT_ED_PROF;MAT_PROC_CRECHE;MAT_PROC_PRE_ESC;DEM_CRECHE;DEM_PRE;DEM_FUND_I;DEM_FUND_II;DEM_EJA_I;DEM_EJA_II;DEM_PREF_CRECHE;DEM_PREF_PRE;MES_ANO_REF
AGUA RASA;573;1929;1344;1376;219;137;0;0;;;505;153;0;0;0;0;;;jun-06
ALTO DE PINHEIROS;236;198;0;0;0;0;0;0;;;64;2;0;0;0;0;;;jun-06
ANHANGUERA;207;1947;2943;2673;187;856;0;0;;;138;274;0;0;0;0;;;jun-06
ARICANDUVA;435;1675;2429;2377;187;670;0;0;;;523;130;0;0;0;0;;;jun-06
ARTUR ALVIM;901;4595;3216;2784;201;837;0;0;;;670;155;0;0;0;0;;;jun-06
BARRA FUNDA;220;335;0;0;0;0;0;0;;;196;27;0;0;0;0;;;jun-06
BELA VISTA;493;1118;516;519;0;632;0;0;;;738;154;0;0;0;0;;;jun-06
BELEM;154;1619;462;0;0;0;0;0;;;285;116;0;0;0;0;;;jun-06
BOM RETIRO;452;1643;0;0;0;0;0;0;;;640;536;0;0;0;0;;;jun-06
BRAS;199;600;0;0;0;0;0;0;;;253;122;0;0;0;0;;;jun-06
BRASILANDIA;2121;9069;8966;7005;935;3401;0;0;;;2392;1387;0;0;0;0;;;jun-06
BUTANTA;231;1636;1635;1515;411;1132;0;0;;;479;121;0;0;0;0;;;jun-06
CACHOEIRINHA;909;4602;4471;3576;576;1307;0;0;;;1167;297;0;0;0;0;;;jun-06
CAMBUCI;131;786;0;0;316;405;0;0;;;234;267;0;0;0;0;;;jun-06
CAMPO BELO;336;782;1492;1350;210;700;0;0;;;529;96;0;0;0;0;;;jun-06
CAMPO GRANDE;218;2310;3486;3305;468;1198;0;0;;;431;342;0;0;0;0;;;jun-06
CAMPO LIMPO;1286;9673;9669;8696;1193;4243;0;0;;;3051;2782;0;0;0;0;;;jun-06
CANGAIBA;750;4618;2843;2486;221;758;0;0;;;1225;539;0;0;0;0;;;jun-06
CAPAO REDONDO;902;7652;11599;9209;1220;5168;0;0;;;2345;2442;0;0;0;0;;;jun-06
CARRAO;506;1745;1068;1028;0;135;0;0;;;470;92;0;0;0;0;;;jun-06
CASA VERDE;403;2451;1145;1169;143;645;0;0;;;667;259;0;0;0;0;;;jun-06
CIDADE ADEMAR;981;6134;4935;4132;749;1768;0;0;;;3214;2112;0;0;0;0;;;jun-06
CIDADE DUTRA;2421;6612;6624;6381;433;2600;0;0;;;1934;1232;0;0;0;0;;;jun-06
CIDADE LIDER;822;5232;3801;3631;476;2286;0;0;;;1356;593;0;0;0;0;;;jun-06
CIDADE TIRADENTES;1676;11776;13221;12656;735;3511;557;25;;;1559;1100;0;0;0;0;;;jun-06
CONSOLACAO;135;961;0;0;0;0;0;0;;;122;57;0;0;0;0;;;jun-06
CURSINO;252;2021;998;982;0;145;0;0;;;571;183;0;0;0;0;;;jun-06
ERMELINO MATARAZZO;422;3698;1849;1923;323;1492;0;0;;;901;634;0;0;0;0;;;jun-06
FREGUESIA DO O;673;5015;3784;2954;339;1465;0;0;;;599;916;0;0;0;0;;;jun-06
GRAJAU;2555;10137;9224;8165;1235;3945;0;0;;;3914;3829;0;0;0;0;;;jun-06
GUAIANASES;750;4742;2073;2442;551;1924;0;0;;;509;429;0;0;0;0;;;jun-06
IGUATEMI;704;5853;7010;6067;768;1919;0;0;;;1296;978;0;0;0;0;;;jun-06
IPIRANGA;728;3066;1017;894;215;374;0;0;;;605;112;0;0;0;0;;;jun-06
ITAIM BIBI;95;777;851;746;0;417;0;0;;;124;80;0;0;0;0;;;jun-06
ITAIM PAULISTA;1284;7565;5849;6567;611;2914;0;0;;;1963;1549;0;0;0;0;;;jun-06
ITAQUERA;843;5851;3620;4044;508;1808;0;0;;;1120;443;0;0;0;0;;;jun-06
JABAQUARA;1004;6191;3480;2990;309;1237;0;0;;;2279;1245;0;0;0;0;;;jun-06
JACANA;600;3398;1725;1587;31;722;0;0;;;830;643;0;0;0;0;;;jun-06
JAGUARA;324;846;884;896;185;393;0;0;;;330;36;0;0;0;0;;;jun-06
JAGUARE;230;645;411;406;203;274;0;0;;;448;162;0;0;0;0;;;jun-06
JARAGUA;2008;7580;11255;9744;967;3574;441;0;;;1609;1038;0;0;0;0;;;jun-06
JARDIM ANGELA;1683;9341;7984;6473;759;2893;0;0;;;3539;3851;0;0;0;0;;;jun-06
