AN_LETIVO,CD_ALUNO_SME,DESC_RACA_COR,CD_SEXO,TIPO_ESCOLA,DRE,NOME_DISTRITO,TURMA_ESCOL,MODALIDADE_SEGMENTO,DESC_SERIE,DESC_PAIS_NASC
2016,6261502,NAO DECLARADA,F,CR.P.CONV   ,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,BUTANTA,S,CRECHE,MINI GRUPO II,INDIA
2016,6448463,NAO DECLARADA,F,CR.P.CONV   ,DIRETORIA REGIONAL DE EDUCACAO PIRITUBA/JARAGUA,PIRITUBA,S,CRECHE,BERCARIO I,BOLIVIA
2016,6487255,INDIGENA,M,EMEI        ,DIRETORIA REGIONAL DE EDUCACAO PENHA,MOOCA,S,PRE,INFANTIL I,BOLIVIA
2016,4722765,PARDA,M,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO PENHA,PARI,S,Fund1,C.I 2.ANO F9,BOLIVIA
2016,6712613,NAO DECLARADA,F,EMEI        ,DIRETORIA REGIONAL DE EDUCACAO IPIRANGA,CONSOLACAO,S,PRE,INFANTIL I,BOLIVIA
2016,6521092,PARDA,F,EMEI        ,DIRETORIA REGIONAL DE EDUCACAO ITAQUERA,JOSE BONIFACIO,S,PRE,INFANTIL I,BOLIVIA
2016,5836860,PARDA,M,EMEI        ,DIRETORIA REGIONAL DE EDUCACAO ITAQUERA,JOSE BONIFACIO,S,PRE,INFANTIL I,BOLIVIA
2016,6207350,NAO DECLARADA,M,EMEI        ,DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE,VILA MARIA,S,PRE,INFANTIL I,BOLIVIA
2016,5861938,NAO DECLARADA,F,EMEI        ,DIRETORIA REGIONAL DE EDUCACAO PIRITUBA/JARAGUA,JARAGUA,S,PRE,INFANTIL II,BOLIVIA
2016,5858795,NAO DECLARADA,M,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO PIRITUBA/JARAGUA,PERUS,S,Fund1,C.II 5.ANO F9,BOLIVIA
2016,6074412,BRANCA,F,EMEI        ,DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE,VILA MEDEIROS,S,PRE,INFANTIL I,BOLIVIA
2016,6262541,PRETA,F,EMEI        ,DIRETORIA REGIONAL DE EDUCACAO IPIRANGA,VILA PRUDENTE,S,PRE,INFANTIL I,REPUBLICA DO HAITI
2016,6628162,NAO DECLARADA,F,CEI INDIR   ,DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE,SANTANA,S,CRECHE,MINI GRUPO I,BOLIVIA
2016,5952486,NAO DECLARADA,M,EMEI        ,DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE,VILA MEDEIROS,S,PRE,INFANTIL I,BOLIVIA
2016,6644647,NAO DECLARADA,M,MOVA        ,DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL,ITAIM PAULISTA,S,MOVA,MOVA,ANGOLA
2016,5137145,AMARELA,M,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO SANTO AMARO,JABAQUARA,S,Fund1,C.II 5.ANO F9,JAPAO
